video-id,name,year,lang,age,screentime
0,ADORINI,2018,BENGALI,young,0.009481517042726836
0,ADORINI,2018,BENGALI,adult,0.8819011041766682
0,ADORINI,2018,BENGALI,middle-aged,0.1084973595775324
0,ADORINI,2018,BENGALI,old,0.00012001920307249159
1,ADORINI,2018,BENGALI,young,0.00672737714332595
1,ADORINI,2018,BENGALI,adult,0.9401919763721388
1,ADORINI,2018,BENGALI,middle-aged,0.053080646484535234
1,ADORINI,2018,BENGALI,old,0.0
2,ADORINI,2018,BENGALI,young,0.013656472398538181
2,ADORINI,2018,BENGALI,adult,0.9694171956145412
2,ADORINI,2018,BENGALI,middle-aged,0.016926331986920562
2,ADORINI,2018,BENGALI,old,0.0
3,ADORINI,2018,BENGALI,young,0.015888104291146118
3,ADORINI,2018,BENGALI,adult,0.7768875611080934
3,ADORINI,2018,BENGALI,middle-aged,0.11135252580119501
3,ADORINI,2018,BENGALI,old,0.09587180879956546
4,ADORINI,2018,BENGALI,young,0.009683638594338797
4,ADORINI,2018,BENGALI,adult,0.8520725615634037
4,ADORINI,2018,BENGALI,middle-aged,0.1375865393041802
4,ADORINI,2018,BENGALI,old,0.0006572605380772939
5,ALOUKIK NA LOUKIK,2019,BENGALI,young,0.009759775056541494
5,ALOUKIK NA LOUKIK,2019,BENGALI,adult,0.6917622608447604
5,ALOUKIK NA LOUKIK,2019,BENGALI,middle-aged,0.2377391552395118
5,ALOUKIK NA LOUKIK,2019,BENGALI,old,0.06073880885918621
6,ALOUKIK NA LOUKIK,2019,BENGALI,young,0.019213283257560783
6,ALOUKIK NA LOUKIK,2019,BENGALI,adult,0.727759109178362
6,ALOUKIK NA LOUKIK,2019,BENGALI,middle-aged,0.2419450484285432
6,ALOUKIK NA LOUKIK,2019,BENGALI,old,0.011082559135534032
7,ALOUKIK NA LOUKIK,2019,BENGALI,young,0.007727695061980193
7,ALOUKIK NA LOUKIK,2019,BENGALI,adult,0.7073900333129377
7,ALOUKIK NA LOUKIK,2019,BENGALI,middle-aged,0.26036213656038254
7,ALOUKIK NA LOUKIK,2019,BENGALI,old,0.024520135064699616
8,ALOUKIK NA LOUKIK,2019,BENGALI,young,0.007565108020124297
8,ALOUKIK NA LOUKIK,2019,BENGALI,adult,0.7132287659070731
8,ALOUKIK NA LOUKIK,2019,BENGALI,middle-aged,0.2381436815625925
8,ALOUKIK NA LOUKIK,2019,BENGALI,old,0.04106244451021012
9,ALOUKIK NA LOUKIK,2019,BENGALI,young,0.009042919439981638
9,ALOUKIK NA LOUKIK,2019,BENGALI,adult,0.7124856552673858
9,ALOUKIK NA LOUKIK,2019,BENGALI,middle-aged,0.25460179022263024
