video-id,name,year,lang,gender,screentime
0,ADORINI,2018,BENGALI,male,0.27850456072971674
0,ADORINI,2018,BENGALI,female,0.7214954392702833
1,ADORINI,2018,BENGALI,male,0.6110427434572155
1,ADORINI,2018,BENGALI,female,0.38895725654278446
2,ADORINI,2018,BENGALI,male,0.2660126947489902
2,ADORINI,2018,BENGALI,female,0.7339873052510099
3,ADORINI,2018,BENGALI,male,0.27179521998913636
3,ADORINI,2018,BENGALI,female,0.7282047800108636
4,ADORINI,2018,BENGALI,male,0.29751993690298834
4,ADORINI,2018,BENGALI,female,0.7024800630970116
5,ALOUKIK NA LOUKIK,2019,BENGALI,male,0.8191079687850201
5,ALOUKIK NA LOUKIK,2019,BENGALI,female,0.18089203121497993
6,ALOUKIK NA LOUKIK,2019,BENGALI,male,0.6102655333728668
6,ALOUKIK NA LOUKIK,2019,BENGALI,female,0.3897344666271332
7,ALOUKIK NA LOUKIK,2019,BENGALI,male,0.8618079633784305
7,ALOUKIK NA LOUKIK,2019,BENGALI,female,0.13819203662156956
8,ALOUKIK NA LOUKIK,2019,BENGALI,male,0.8295538620893755
8,ALOUKIK NA LOUKIK,2019,BENGALI,female,0.17044613791062443
9,ALOUKIK NA LOUKIK,2019,BENGALI,male,0.8747991737434014
9,ALOUKIK NA LOUKIK,2019,BENGALI,female,0.1252008262565986
10,MOHOR,2020,BENGALI,male,0.4336248325848893
10,MOHOR,2020,BENGALI,female,0.5663751674151107
11,MOHOR,2020,BENGALI,male,0.38133998512100126
11,MOHOR,2020,BENGALI,female,0.6186600148789987
12,MOHOR,2020,BENGALI,male,0.6487775790101371
12,MOHOR,2020,BENGALI,female,0.35122242098986284
13,MOHOR,2020,BENGALI,male,0.3671878758720231
13,MOHOR,2020,BENGALI,female,0.6328121241279769
14,MOHOR,2020,BENGALI,male,0.4053255409265522
14,MOHOR,2020,BENGALI,female,0.5946744590734478
15,GANGARAM,2020,BENGALI,male,0.5228350011285833
15,GANGARAM,2020,BENGALI,female,0.4771649988714167
16,GANGARAM,2020,BENGALI,male,0.4790767186981069
16,GANGARAM,2020,BENGALI,female,0.520923281301893
17,GANGARAM,2020,BENGALI,male,0.5754118462440689
17,GANGARAM,2020,BENGALI,female,0.4245881537559311
18,GANGARAM,2020,BENGALI,male,0.4577592257397215
18,GANGARAM,2020,BENGALI,female,0.5422407742602785
19,BHAGGOLOKKHI,2020,BENGALI,male,0.4011093777084417
19,BHAGGOLOKKHI,2020,BENGALI,female,0.5988906222915583
20,BHAGGOLOKKHI,2020,BENGALI,male,0.4444002387109608
20,BHAGGOLOKKHI,2020,BENGALI,female,0.5555997612890392
21,BHAGGOLOKKHI,2020,BENGALI,male,0.4439151638879437
21,BHAGGOLOKKHI,2020,BENGALI,female,0.5560848361120563
22,BHAGGOLOKKHI,2020,BENGALI,male,0.40748898678414097
22,BHAGGOLOKKHI,2020,BENGALI,female,0.5925110132158591
23,BHAGGOLOKKHI,2020,BENGALI,male,0.4155647602357814
23,BHAGGOLOKKHI,2020,BENGALI,female,0.5844352397642186
24,SANJHER BAATI,2020,BENGALI,male,0.228287841191067
24,SANJHER BAATI,2020,BENGALI,female,0.771712158808933
25,SANJHER BAATI,2020,BENGALI,male,0.37212832294059733
25,SANJHER BAATI,2020,BENGALI,female,0.6278716770594027
26,SANJHER BAATI,2020,BENGALI,male,0.3067527891955373
26,SANJHER BAATI,2020,BENGALI,female,0.6932472108044627
27,SANJHER BAATI,2020,BENGALI,male,0.261158171100213
27,SANJHER BAATI,2020,BENGALI,female,0.738841828899787
28,SANJHER BAATI,2020,BENGALI,male,0.2954033771106942
28,SANJHER BAATI,2020,BENGALI,female,0.7045966228893058
29,GAATCHORA,2021,BENGALI,male,0.23463872035300606
29,GAATCHORA,2021,BENGALI,female,0.765361279646994
30,GAATCHORA,2021,BENGALI,male,0.2910903078571096
30,GAATCHORA,2021,BENGALI,female,0.7089096921428905
31,GAATCHORA,2021,BENGALI,male,0.2606762015464699
31,GAATCHORA,2021,BENGALI,female,0.7393237984535301
32,GAATCHORA,2021,BENGALI,male,0.3358424785071907
32,GAATCHORA,2021,BENGALI,female,0.6641575214928093
33,GAATCHORA,2021,BENGALI,male,0.3374164810690423
33,GAATCHORA,2021,BENGALI,female,0.6625835189309577
34,DHULOKONA,2021,BENGALI,male,0.3831100359756854
34,DHULOKONA,2021,BENGALI,female,0.6168899640243146
35,DHULOKONA,2021,BENGALI,male,0.39124730304974054
35,DHULOKONA,2021,BENGALI,female,0.6087526969502595
36,DHULOKONA,2021,BENGALI,male,0.43686974789915967
36,DHULOKONA,2021,BENGALI,female,0.5631302521008403
37,DHULOKONA,2021,BENGALI,male,0.17979916440665542
37,DHULOKONA,2021,BENGALI,female,0.8202008355933446
