video-id,name,year,lang,skintone,screentime
0,ADORINI,2018,BENGALI,light,0.623799807969275
0,ADORINI,2018,BENGALI,medium,0.36263802208353335
0,ADORINI,2018,BENGALI,dark,0.01356216994719155
1,ADORINI,2018,BENGALI,light,0.9073755025022562
1,ADORINI,2018,BENGALI,medium,0.0918040856509968
1,ADORINI,2018,BENGALI,dark,0.000820411846747067
2,ADORINI,2018,BENGALI,light,0.7212925562608193
2,ADORINI,2018,BENGALI,medium,0.269090209655703
2,ADORINI,2018,BENGALI,dark,0.009617234083477592
3,ADORINI,2018,BENGALI,light,0.7604562737642585
3,ADORINI,2018,BENGALI,medium,0.20817490494296578
3,ADORINI,2018,BENGALI,dark,0.03136882129277566
4,ADORINI,2018,BENGALI,light,0.9316449040399615
4,ADORINI,2018,BENGALI,medium,0.05354482516869687
4,ADORINI,2018,BENGALI,dark,0.014810270791341687
5,ALOUKIK NA LOUKIK,2019,BENGALI,light,0.6003993561401006
5,ALOUKIK NA LOUKIK,2019,BENGALI,medium,0.20308074736649076
5,ALOUKIK NA LOUKIK,2019,BENGALI,dark,0.1965198964934086
6,ALOUKIK NA LOUKIK,2019,BENGALI,light,0.7887461290110035
6,ALOUKIK NA LOUKIK,2019,BENGALI,medium,0.11610990314291363
6,ALOUKIK NA LOUKIK,2019,BENGALI,dark,0.0951439678460829
7,ALOUKIK NA LOUKIK,2019,BENGALI,light,0.6477666734652253
7,ALOUKIK NA LOUKIK,2019,BENGALI,medium,0.18872798966619075
7,ALOUKIK NA LOUKIK,2019,BENGALI,dark,0.16350533686858387
8,ALOUKIK NA LOUKIK,2019,BENGALI,light,0.6953980467593963
8,ALOUKIK NA LOUKIK,2019,BENGALI,medium,0.15013687481503404
8,ALOUKIK NA LOUKIK,2019,BENGALI,dark,0.1544650784255697
9,ALOUKIK NA LOUKIK,2019,BENGALI,light,0.6194399816387423
9,ALOUKIK NA LOUKIK,2019,BENGALI,medium,0.19469818682579756
9,ALOUKIK NA LOUKIK,2019,BENGALI,dark,0.18586183153546018
10,MOHOR,2020,BENGALI,light,0.7551012369022295
10,MOHOR,2020,BENGALI,medium,0.23804459150712992
10,MOHOR,2020,BENGALI,dark,0.0068541715906405105
11,MOHOR,2020,BENGALI,light,0.8514725832567502
11,MOHOR,2020,BENGALI,medium,0.14450133473370969
11,MOHOR,2020,BENGALI,dark,0.004026082009540064
12,MOHOR,2020,BENGALI,light,0.667262969588551
12,MOHOR,2020,BENGALI,medium,0.32697276883323395
12,MOHOR,2020,BENGALI,dark,0.005764261578215067
13,MOHOR,2020,BENGALI,light,0.7213856146259322
13,MOHOR,2020,BENGALI,medium,0.256434929035362
13,MOHOR,2020,BENGALI,dark,0.022179456338705796
14,MOHOR,2020,BENGALI,light,0.6378500837245953
14,MOHOR,2020,BENGALI,medium,0.2964507338214532
14,MOHOR,2020,BENGALI,dark,0.06569918245395147
15,GANGARAM,2020,BENGALI,light,0.7049883379730645
15,GANGARAM,2020,BENGALI,medium,0.267888044541419
15,GANGARAM,2020,BENGALI,dark,0.027123617485516515
16,GANGARAM,2020,BENGALI,light,0.805712387910993
16,GANGARAM,2020,BENGALI,medium,0.17293258053802724
16,GANGARAM,2020,BENGALI,dark,0.02135503155097974
17,GANGARAM,2020,BENGALI,light,0.7954363704217092
17,GANGARAM,2020,BENGALI,medium,0.1797728847896785
17,GANGARAM,2020,BENGALI,dark,0.024790744788612252
18,GANGARAM,2020,BENGALI,light,0.6390971888737025
18,GANGARAM,2020,BENGALI,medium,0.2613867238003768
18,GANGARAM,2020,BENGALI,dark,0.09951608732592072
19,BHAGGOLOKKHI,2020,BENGALI,light,0.9417143352400763
19,BHAGGOLOKKHI,2020,BENGALI,medium,0.05481885942104351
19,BHAGGOLOKKHI,2020,BENGALI,dark,0.003466805338880222
20,BHAGGOLOKKHI,2020,BENGALI,light,0.9624278893972549
20,BHAGGOLOKKHI,2020,BENGALI,medium,0.035955838472249854
20,BHAGGOLOKKHI,2020,BENGALI,dark,0.0016162721304953252
