video_key,name,year,lang,gender,age,skintone,faces
0,ADORINI,2018,BENGALI,male,young,light,3
0,ADORINI,2018,BENGALI,male,young,medium,0
0,ADORINI,2018,BENGALI,male,young,dark,1
0,ADORINI,2018,BENGALI,male,adult,light,2211
0,ADORINI,2018,BENGALI,male,adult,medium,1390
0,ADORINI,2018,BENGALI,male,adult,dark,44
0,ADORINI,2018,BENGALI,male,middle_aged,light,324
0,ADORINI,2018,BENGALI,male,middle_aged,medium,642
0,ADORINI,2018,BENGALI,male,middle_aged,dark,24
0,ADORINI,2018,BENGALI,male,old,light,2
0,ADORINI,2018,BENGALI,male,old,medium,0
0,ADORINI,2018,BENGALI,male,old,dark,0
0,ADORINI,2018,BENGALI,female,young,light,127
0,ADORINI,2018,BENGALI,female,young,medium,8
0,ADORINI,2018,BENGALI,female,young,dark,19
0,ADORINI,2018,BENGALI,female,adult,light,7197
0,ADORINI,2018,BENGALI,female,adult,medium,3717
0,ADORINI,2018,BENGALI,female,adult,dark,137
0,ADORINI,2018,BENGALI,female,middle_aged,light,531
0,ADORINI,2018,BENGALI,female,middle_aged,medium,286
0,ADORINI,2018,BENGALI,female,middle_aged,dark,1
0,ADORINI,2018,BENGALI,female,old,light,0
0,ADORINI,2018,BENGALI,female,old,medium,0
0,ADORINI,2018,BENGALI,female,old,dark,0
1,ADORINI,2018,BENGALI,male,young,light,71
1,ADORINI,2018,BENGALI,male,young,medium,0
1,ADORINI,2018,BENGALI,male,young,dark,0
1,ADORINI,2018,BENGALI,male,adult,light,5930
1,ADORINI,2018,BENGALI,male,adult,medium,829
1,ADORINI,2018,BENGALI,male,adult,dark,2
1,ADORINI,2018,BENGALI,male,middle_aged,light,513
1,ADORINI,2018,BENGALI,male,middle_aged,medium,101
1,ADORINI,2018,BENGALI,male,middle_aged,dark,2
1,ADORINI,2018,BENGALI,male,old,light,0
1,ADORINI,2018,BENGALI,male,old,medium,0
1,ADORINI,2018,BENGALI,male,old,dark,0
1,ADORINI,2018,BENGALI,female,young,light,11
1,ADORINI,2018,BENGALI,female,young,medium,0
1,ADORINI,2018,BENGALI,female,young,dark,0
1,ADORINI,2018,BENGALI,female,adult,light,4506
1,ADORINI,2018,BENGALI,female,adult,medium,187
1,ADORINI,2018,BENGALI,female,adult,dark,6
1,ADORINI,2018,BENGALI,female,middle_aged,light,29
1,ADORINI,2018,BENGALI,female,middle_aged,medium,2
1,ADORINI,2018,BENGALI,female,middle_aged,dark,0
1,ADORINI,2018,BENGALI,female,old,light,0
1,ADORINI,2018,BENGALI,female,old,medium,0
1,ADORINI,2018,BENGALI,female,old,dark,0
2,ADORINI,2018,BENGALI,male,young,light,4
2,ADORINI,2018,BENGALI,male,young,medium,0
2,ADORINI,2018,BENGALI,male,young,dark,0
2,ADORINI,2018,BENGALI,male,adult,light,792
2,ADORINI,2018,BENGALI,male,adult,medium,558
2,ADORINI,2018,BENGALI,male,adult,dark,13
2,ADORINI,2018,BENGALI,male,middle_aged,light,16
2,ADORINI,2018,BENGALI,male,middle_aged,medium,0
2,ADORINI,2018,BENGALI,male,middle_aged,dark,0
2,ADORINI,2018,BENGALI,male,old,light,0
2,ADORINI,2018,BENGALI,male,old,medium,0
2,ADORINI,2018,BENGALI,male,old,dark,0
2,ADORINI,2018,BENGALI,female,young,light,60
2,ADORINI,2018,BENGALI,female,young,medium,6
2,ADORINI,2018,BENGALI,female,young,dark,1
2,ADORINI,2018,BENGALI,female,adult,light,2806
2,ADORINI,2018,BENGALI,female,adult,medium,835
2,ADORINI,2018,BENGALI,female,adult,dark,36
2,ADORINI,2018,BENGALI,female,middle_aged,light,72
2,ADORINI,2018,BENGALI,female,middle_aged,medium,0
2,ADORINI,2018,BENGALI,female,middle_aged,dark,0
2,ADORINI,2018,BENGALI,female,old,light,0
2,ADORINI,2018,BENGALI,female,old,medium,0
2,ADORINI,2018,BENGALI,female,old,dark,0
3,ADORINI,2018,BENGALI,male,young,light,20
3,ADORINI,2018,BENGALI,male,young,medium,0
3,ADORINI,2018,BENGALI,male,young,dark,0
3,ADORINI,2018,BENGALI,male,adult,light,790
3,ADORINI,2018,BENGALI,male,adult,medium,288
3,ADORINI,2018,BENGALI,male,adult,dark,92
3,ADORINI,2018,BENGALI,male,middle_aged,light,767
3,ADORINI,2018,BENGALI,male,middle_aged,medium,348
3,ADORINI,2018,BENGALI,male,middle_aged,dark,290
3,ADORINI,2018,BENGALI,male,old,light,820
3,ADORINI,2018,BENGALI,male,old,medium,568
3,ADORINI,2018,BENGALI,male,old,dark,20
3,ADORINI,2018,BENGALI,female,young,light,210
3,ADORINI,2018,BENGALI,female,young,medium,2
3,ADORINI,2018,BENGALI,female,young,dark,2
3,ADORINI,2018,BENGALI,female,adult,light,8482
3,ADORINI,2018,BENGALI,female,adult,medium,1742
3,ADORINI,2018,BENGALI,female,adult,dark,48
3,ADORINI,2018,BENGALI,female,middle_aged,light,108
3,ADORINI,2018,BENGALI,female,middle_aged,medium,118
3,ADORINI,2018,BENGALI,female,middle_aged,dark,9
3,ADORINI,2018,BENGALI,female,old,light,3
3,ADORINI,2018,BENGALI,female,old,medium,0
3,ADORINI,2018,BENGALI,female,old,dark,1
4,ADORINI,2018,BENGALI,male,young,light,16
4,ADORINI,2018,BENGALI,male,young,medium,0
4,ADORINI,2018,BENGALI,male,young,dark,1
4,ADORINI,2018,BENGALI,male,adult,light,4849
4,ADORINI,2018,BENGALI,male,adult,medium,733
4,ADORINI,2018,BENGALI,male,adult,dark,195
4,ADORINI,2018,BENGALI,male,middle_aged,light,734
4,ADORINI,2018,BENGALI,male,middle_aged,medium,208
4,ADORINI,2018,BENGALI,male,middle_aged,dark,39
4,ADORINI,2018,BENGALI,male,old,light,6
4,ADORINI,2018,BENGALI,male,old,medium,9
4,ADORINI,2018,BENGALI,male,old,dark,0
4,ADORINI,2018,BENGALI,female,young,light,184
4,ADORINI,2018,BENGALI,female,young,medium,19
4,ADORINI,2018,BENGALI,female,young,dark,1
4,ADORINI,2018,BENGALI,female,adult,light,13355
4,ADORINI,2018,BENGALI,female,adult,medium,230
4,ADORINI,2018,BENGALI,female,adult,dark,84
