video_key,video_id,program_vd,year_vd,lang,genre_vd,channel_vd,ats_vd,rating_vd,reach_vd,male_faces,female_faces,young_faces,adult_faces,middle_aged_faces,old_faces,light_faces,medium_faces,dark_faces,faces,derogatory,controversial,male_person_name,female_person_name,unisex_person_name,hindu_person_name,muslim_person_name,christian_person_name,transcript,non_stopword_transcript,program_ln,year_ln,genre_ln,channel_ln,ats_ln,rating_ln,reach_ln
185,8V-mhzGr8rA,RANU PELO LOTTERY,2018,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,9691,7470,195,13900,2655,411,13685,3314,162,17161,7,0,9,8,1,0,4,5,1662,919,RANU PELO LOTTERY,2018.0,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22
186,sR0g8hDld8I,RANU PELO LOTTERY,2018,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,5318,7742,514,10345,1590,611,9403,3072,585,13060,1,0,10,10,0,0,5,5,1316,728,RANU PELO LOTTERY,2018.0,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22
187,oXdB7Otc6Lo,RANU PELO LOTTERY,2018,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,8462,10474,643,10334,7027,932,15592,3231,113,18936,7,0,14,13,0,1,8,6,1990,1167,RANU PELO LOTTERY,2018.0,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22
188,RMmSjFxOPKY,RANU PELO LOTTERY,2018,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,7790,11825,280,12029,6146,1160,15402,4130,83,19615,7,0,15,14,0,1,8,7,1925,1096,RANU PELO LOTTERY,2018.0,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22
189,zZ46moWsngI,RANU PELO LOTTERY,2018,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,8627,12797,1021,13297,5884,1222,15377,5429,618,21424,2,0,19,19,0,0,13,6,1779,978,RANU PELO LOTTERY,2018.0,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22
190,idb2-OGdIMc,JOY BABA LOKENATH,2018,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,10835,11690,7478,11828,3219,0,18831,2723,971,22525,0,0,11,11,0,0,7,4,1806,885,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17
191,-Y9oaa82Vxw,JOY BABA LOKENATH,2018,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,10291,3176,3532,5819,3672,444,8449,4013,1005,13467,0,0,12,11,1,0,8,4,1626,855,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17
192,WcIdCIuY6CA,JOY BABA LOKENATH,2018,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,11904,6866,5369,8240,5161,0,17172,1313,285,18770,0,0,10,10,0,0,5,5,2165,1218,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17
193,2wmk2N9xzrY,JOY BABA LOKENATH,2018,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,8525,8571,5308,6663,5125,0,14850,2216,30,17096,0,0,22,22,0,0,15,7,2023,1064,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17
194,6BQ9GaOFrxE,JOY BABA LOKENATH,2018,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,11569,12487,5589,13479,4465,523,21753,2291,12,24056,0,0,13,13,0,0,9,4,2360,1278,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17
195,qSLn7lrTZlU,KRISHNAKOLI,2018,BENGALI,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,15575,16425,911,22116,8973,0,28430,3334,236,32000,0,0,14,14,0,0,10,4,2212,1317,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01
196,sfOoym3tv6s,KRISHNAKOLI,2018,BENGALI,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,13793,15297,1402,20316,7300,72,24911,3961,218,29090,0,0,14,14,0,0,7,7,1792,1093,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01
197,7pysv5CA1TQ,KRISHNAKOLI,2018,BENGALI,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,5760,10138,131,14378,1389,0,10583,5285,30,15898,0,0,0,0,0,0,0,0,2169,1219,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01
198,CK3liFrE20I,KRISHNAKOLI,2018,BENGALI,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,1793,11835,91,13076,461,0,9737,3891,0,13628,0,0,11,11,0,0,3,8,2134,1236,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01
199,mwKsQ6ku1X0,KRISHNAKOLI,2018,BENGALI,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,3840,12802,143,14413,2086,0,13232,3410,0,16642,0,0,9,9,0,0,3,6,2694,1613,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01
200,kVhc1bXDE4o,BOKUL KOTHA,2018,BENGALI,DRAMA/SOAP,Zee Bangla,52.57332595462092,3.22,6.13,14589,7181,919,17564,2770,517,19468,1409,893,21770,2,0,13,12,1,0,10,3,1863,1060,BOKUL KOTHA,2018.0,DRAMA/SOAP,Zee Bangla,52.57332595462092,3.22,6.13
