file_key,youtube_key,year,program,lang,genre,channel,ats,rating,reach,gender,age,skintone,faces
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,young,light,3
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,young,medium,0
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,young,dark,1
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,adult,light,2211
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,adult,medium,1390
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,adult,dark,44
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,middle_aged,light,324
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,middle_aged,medium,642
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,middle_aged,dark,24
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,old,light,2
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,old,medium,0
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,male,old,dark,0
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,female,young,light,127
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,female,young,medium,8
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,female,young,dark,19
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,female,adult,light,7197
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,female,adult,medium,3717
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,female,adult,dark,137
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,female,middle_aged,light,531
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,female,middle_aged,medium,286
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,female,middle_aged,dark,1
Ben_26,,2018,adorini,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,female,old,light,0
