video_key,video_id,program,year,lang,genre,channel,ats,rating,reach,male_faces,female_faces,young_faces,adult_faces,middle_aged_faces,old_faces,light_faces,medium_faces,dark_faces,faces
0,Ben_26,ADORINI,2018,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,4641,12023,158,14696,1808,2,10395,6043,226,16664
1,Ben_27,ADORINI,2018,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,7448,4741,82,11460,647,0,11060,1119,10,12189
2,Ben_28,ADORINI,2018,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,1383,3816,71,5040,88,0,3750,1399,50,5199
3,Ben_29,ADORINI,2018,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,4003,10725,234,11442,1640,1412,11200,3066,462,14728
4,Ben_30,ADORINI,2018,BENGALI,DRAMA/SOAP,STAR Jalsha,49.66517857142857,2.48,5.0,6790,16032,221,19446,3140,15,21262,1222,338,22822
5,Ben_61,ALOUKIK NA LOUKIK,2019,BENGALI,ACTION/THRILLER,STAR Jalsha,24.534592942484025,2.66,10.86,40201,8878,479,33951,11668,2981,29467,9967,9645,49079
6,Ben_62,ALOUKIK NA LOUKIK,2019,BENGALI,ACTION/THRILLER,STAR Jalsha,24.534592942484025,2.66,10.86,46310,29575,1458,55226,18360,841,59854,8811,7220,75885
7,Ben_63,ALOUKIK NA LOUKIK,2019,BENGALI,ACTION/THRILLER,STAR Jalsha,24.534592942484025,2.66,10.86,38029,6098,341,31215,11489,1082,28584,8328,7215,44127
8,Ben_64,ALOUKIK NA LOUKIK,2019,BENGALI,ACTION/THRILLER,STAR Jalsha,24.534592942484025,2.66,10.86,44849,9215,409,38560,12875,2220,37596,8117,8351,54064
9,Ben_65,ALOUKIK NA LOUKIK,2019,BENGALI,ACTION/THRILLER,STAR Jalsha,24.534592942484025,2.66,10.86,38115,5455,394,31043,11093,1040,26989,8483,8098,43570
