video_id,lang,derogatory,controversial,male_person_name,female_person_name,unisex_person_name,hindu_person_name,muslim_person_name,christian_person_name,transcript,non_stopword_transcript,program,year,genre,channel,ats,rating,reach,gender,person_name_count
-PUpZlgFVlI,BENGALI,0,0,4,4,0,0,2,2,36,9,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,male,4
-PUpZlgFVlI,BENGALI,0,0,4,4,0,0,2,2,36,9,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,female,4
-R6Iou8twaw,BENGALI,0,0,7,7,0,0,7,0,16,5,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,male,7
-R6Iou8twaw,BENGALI,0,0,7,7,0,0,7,0,16,5,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,female,7
-Y9oaa82Vxw,BENGALI,0,0,12,11,1,0,8,4,1626,855,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,male,12
-Y9oaa82Vxw,BENGALI,0,0,12,11,1,0,8,4,1626,855,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,female,11
0B1QD63DzOc,BENGALI,3,0,0,0,0,0,0,0,1840,1077,KHUKUMONI HOME DELIVERY,2021.0,DRAMA/SOAP,STAR Jalsha,62.888888888888886,3.97,6.31,male,0
0B1QD63DzOc,BENGALI,3,0,0,0,0,0,0,0,1840,1077,KHUKUMONI HOME DELIVERY,2021.0,DRAMA/SOAP,STAR Jalsha,62.888888888888886,3.97,6.31,female,0
0qUmRtgLuPY,BENGALI,1,0,0,0,0,0,0,0,1649,888,TRINAYANI,2019.0,DRAMA/SOAP,Zee Bangla,57.86548082267927,2.86,4.94,male,0
0qUmRtgLuPY,BENGALI,1,0,0,0,0,0,0,0,1649,888,TRINAYANI,2019.0,DRAMA/SOAP,Zee Bangla,57.86548082267927,2.86,4.94,female,0
16tVnHedkGg,BENGALI,2,0,14,12,1,1,11,3,788,346,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,male,14
16tVnHedkGg,BENGALI,2,0,14,12,1,1,11,3,788,346,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,female,12
1D1zfJhAA5g,BENGALI,0,0,12,12,0,0,7,5,1492,788,JIBON SATHI,2020.0,DRAMA/SOAP,Zee Bangla,50.55309734513274,3.45,6.82,male,12
1D1zfJhAA5g,BENGALI,0,0,12,12,0,0,7,5,1492,788,JIBON SATHI,2020.0,DRAMA/SOAP,Zee Bangla,50.55309734513274,3.45,6.82,female,12
1E5RgstZOYo,BENGALI,0,0,10,10,0,0,5,5,2148,1136,ANDARMAHAL,2018.0,DRAMA/SOAP,Zee Bangla,41.448467966573816,2.26,5.46,male,10
1E5RgstZOYo,BENGALI,0,0,10,10,0,0,5,5,2148,1136,ANDARMAHAL,2018.0,DRAMA/SOAP,Zee Bangla,41.448467966573816,2.26,5.46,female,10
1iGvooeqWNA,BENGALI,0,0,25,23,2,0,25,0,117,46,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,male,25
1iGvooeqWNA,BENGALI,0,0,25,23,2,0,25,0,117,46,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,female,23
29yQ0kobcOM,BENGALI,0,0,20,20,0,0,12,8,1116,607,NOJOR,2019.0,DRAMA/SOAP,STAR Jalsha,40.038967364831954,1.93,4.82,male,20
29yQ0kobcOM,BENGALI,0,0,20,20,0,0,12,8,1116,607,NOJOR,2019.0,DRAMA/SOAP,STAR Jalsha,40.038967364831954,1.93,4.82,female,20
2KUioip1wZ8,BENGALI,22,12,15,15,0,0,8,7,2142,1172,KRISHNAKOLI,2019.0,DRAMA/SOAP,Zee Bangla,56.30530973451327,2.09,3.72,male,15
2KUioip1wZ8,BENGALI,22,12,15,15,0,0,8,7,2142,1172,KRISHNAKOLI,2019.0,DRAMA/SOAP,Zee Bangla,56.30530973451327,2.09,3.72,female,15
2g9Yx4Niz8s,BENGALI,0,0,11,11,0,0,5,6,2270,1283,ALO CHHAYA,2019.0,DRAMA/SOAP,Zee Bangla,49.80435997764114,3.15,6.32,male,11
2g9Yx4Niz8s,BENGALI,0,0,11,11,0,0,5,6,2270,1283,ALO CHHAYA,2019.0,DRAMA/SOAP,Zee Bangla,49.80435997764114,3.15,6.32,female,11
2wmk2N9xzrY,BENGALI,0,0,22,22,0,0,15,7,2023,1064,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,male,22
2wmk2N9xzrY,BENGALI,0,0,22,22,0,0,15,7,2023,1064,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,female,22
3wvSiXwHW1o,BENGALI,0,0,0,0,0,0,0,0,1705,926,TRINAYANI,2019.0,DRAMA/SOAP,Zee Bangla,57.86548082267927,2.86,4.94,male,0
3wvSiXwHW1o,BENGALI,0,0,0,0,0,0,0,0,1705,926,TRINAYANI,2019.0,DRAMA/SOAP,Zee Bangla,57.86548082267927,2.86,4.94,female,0
4JST6XN934s,BENGALI,0,0,6,6,0,0,3,3,562,248,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82,male,6
4JST6XN934s,BENGALI,0,0,6,6,0,0,3,3,562,248,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82,female,6
4frjmiM9tc0,BENGALI,1,0,0,0,0,0,0,0,1205,705,KHUKUMONI HOME DELIVERY,2022.0,DRAMA/SOAP,STAR Jalsha,55.25876460767947,2.99,5.41,male,0
4frjmiM9tc0,BENGALI,1,0,0,0,0,0,0,0,1205,705,KHUKUMONI HOME DELIVERY,2022.0,DRAMA/SOAP,STAR Jalsha,55.25876460767947,2.99,5.41,female,0
4nDy2O-PBLM,BENGALI,1,0,11,11,0,0,7,4,1716,896,RANGIYE DIYE JAO,2021.0,DRAMA/SOAP,STAR Jalsha,31.237830319888733,3.69,11.77,male,11
4nDy2O-PBLM,BENGALI,1,0,11,11,0,0,7,4,1716,896,RANGIYE DIYE JAO,2021.0,DRAMA/SOAP,STAR Jalsha,31.237830319888733,3.69,11.77,female,11
5gicvTrVryc,BENGALI,0,0,10,10,0,0,7,3,1649,846,RANGIYE DIYE JAO,2021.0,DRAMA/SOAP,STAR Jalsha,31.237830319888733,3.69,11.77,male,10
5gicvTrVryc,BENGALI,0,0,10,10,0,0,7,3,1649,846,RANGIYE DIYE JAO,2021.0,DRAMA/SOAP,STAR Jalsha,31.237830319888733,3.69,11.77,female,10
6BQ9GaOFrxE,BENGALI,0,0,13,13,0,0,9,4,2360,1278,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,male,13
6BQ9GaOFrxE,BENGALI,0,0,13,13,0,0,9,4,2360,1278,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,female,13
6wajLOkSHDg,BENGALI,0,0,0,0,0,0,0,0,175,85,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,male,0
6wajLOkSHDg,BENGALI,0,0,0,0,0,0,0,0,175,85,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,female,0
7pysv5CA1TQ,BENGALI,0,0,0,0,0,0,0,0,2169,1219,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,male,0
7pysv5CA1TQ,BENGALI,0,0,0,0,0,0,0,0,2169,1219,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,female,0
89Z1mVn93O4,BENGALI,0,0,11,11,0,0,8,3,2001,1219,MITHAI,2021.0,DRAMA/SOAP,Zee Bangla,61.256830601092894,4.04,6.59,male,11
89Z1mVn93O4,BENGALI,0,0,11,11,0,0,8,3,2001,1219,MITHAI,2021.0,DRAMA/SOAP,Zee Bangla,61.256830601092894,4.04,6.59,female,11
89m4ErCBYvo,BENGALI,2,0,12,12,0,0,9,3,1679,934,UMA,2021.0,DRAMA/SOAP,Zee Bangla,59.16913946587537,3.33,5.63,male,12
89m4ErCBYvo,BENGALI,2,0,12,12,0,0,9,3,1679,934,UMA,2021.0,DRAMA/SOAP,Zee Bangla,59.16913946587537,3.33,5.63,female,12
8PfaKu2uzu0,BENGALI,0,0,4,3,1,0,2,2,246,95,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33,male,4
8PfaKu2uzu0,BENGALI,0,0,4,3,1,0,2,2,246,95,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33,female,3
8V-mhzGr8rA,BENGALI,7,0,9,8,1,0,4,5,1662,919,RANU PELO LOTTERY,2018.0,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,male,9
8V-mhzGr8rA,BENGALI,7,0,9,8,1,0,4,5,1662,919,RANU PELO LOTTERY,2018.0,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,female,8
ADS4Gg5k5hs,BENGALI,0,0,5,5,0,0,2,3,1804,999,NETAJI,2019.0,DRAMA/SOAP,Zee Bangla,49.29893438025799,2.1,4.26,male,5
ADS4Gg5k5hs,BENGALI,0,0,5,5,0,0,2,3,1804,999,NETAJI,2019.0,DRAMA/SOAP,Zee Bangla,49.29893438025799,2.1,4.26,female,5
AVp_1TvR9Ek,BENGALI,0,0,12,12,0,0,6,6,1885,1014,APARAJITA APU (-MAHAPARVA),2021.0,DRAMA/SOAP,Zee Bangla,47.43801652892562,4.24,8.93,male,12
