video_id,lang,derogatory,controversial,male_person_name,female_person_name,unisex_person_name,hindu_person_name,muslim_person_name,christian_person_name,transcript,non_stopword_transcript,program,year,genre,channel,ats,rating,reach,gender,person_name_count
AVp_1TvR9Ek,BENGALI,0,0,12,12,0,0,6,6,1885,1014,APARAJITA APU (-MAHAPARVA),2021.0,DRAMA/SOAP,Zee Bangla,47.43801652892562,4.24,8.93,female,12
A_xSqKBS4GQ,BENGALI,0,0,18,17,0,1,15,3,185,73,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,male,18
A_xSqKBS4GQ,BENGALI,0,0,18,17,0,1,15,3,185,73,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,female,17
AiKQ72vPaGc,BENGALI,1,0,11,11,0,0,8,3,2287,1268,ANDARMAHAL,2018.0,DRAMA/SOAP,Zee Bangla,41.448467966573816,2.26,5.46,male,11
AiKQ72vPaGc,BENGALI,1,0,11,11,0,0,8,3,2287,1268,ANDARMAHAL,2018.0,DRAMA/SOAP,Zee Bangla,41.448467966573816,2.26,5.46,female,11
AyyHhLhXwcQ,BENGALI,0,0,14,14,0,0,4,10,2363,1385,MITHAI,2022.0,DRAMA/SOAP,Zee Bangla,57.55148741418764,2.73,4.75,male,14
AyyHhLhXwcQ,BENGALI,0,0,14,14,0,0,4,10,2363,1385,MITHAI,2022.0,DRAMA/SOAP,Zee Bangla,57.55148741418764,2.73,4.75,female,14
B2fL_gfuIQw,BENGALI,1,0,17,16,1,0,9,8,2204,1287,BOKUL KOTHA,2018.0,DRAMA/SOAP,Zee Bangla,52.57332595462092,3.22,6.13,male,17
B2fL_gfuIQw,BENGALI,1,0,17,16,1,0,9,8,2204,1287,BOKUL KOTHA,2018.0,DRAMA/SOAP,Zee Bangla,52.57332595462092,3.22,6.13,female,16
B4IYPSdY5og,BENGALI,6,0,23,23,0,0,16,7,2329,1465,KHUKUMONI HOME DELIVERY,2021.0,DRAMA/SOAP,STAR Jalsha,62.888888888888886,3.97,6.31,male,23
B4IYPSdY5og,BENGALI,6,0,23,23,0,0,16,7,2329,1465,KHUKUMONI HOME DELIVERY,2021.0,DRAMA/SOAP,STAR Jalsha,62.888888888888886,3.97,6.31,female,23
C6wi-M-kfPI,BENGALI,1,0,10,8,2,0,8,2,796,360,BANGLA MEDIUM,2022.0,DRAMA/SOAP,STAR Jalsha,63.166666666666664,2.77,4.38,male,10
C6wi-M-kfPI,BENGALI,1,0,10,8,2,0,8,2,796,360,BANGLA MEDIUM,2022.0,DRAMA/SOAP,STAR Jalsha,63.166666666666664,2.77,4.38,female,8
CK3liFrE20I,BENGALI,0,0,11,11,0,0,3,8,2134,1236,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,male,11
CK3liFrE20I,BENGALI,0,0,11,11,0,0,3,8,2134,1236,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,female,11
CL8OH3LPiM0,BENGALI,0,0,11,11,0,0,6,5,673,324,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89,male,11
CL8OH3LPiM0,BENGALI,0,0,11,11,0,0,6,5,673,324,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89,female,11
DPJVARz2Uss,BENGALI,0,0,0,0,0,0,0,0,1596,855,APARAJITA APU (-MAHAPARVA),2021.0,DRAMA/SOAP,Zee Bangla,47.43801652892562,4.24,8.93,male,0
DPJVARz2Uss,BENGALI,0,0,0,0,0,0,0,0,1596,855,APARAJITA APU (-MAHAPARVA),2021.0,DRAMA/SOAP,Zee Bangla,47.43801652892562,4.24,8.93,female,0
D_QeMOx4gGk,BENGALI,1,0,8,8,0,0,4,4,1711,1019,KHUKUMONI HOME DELIVERY,2022.0,DRAMA/SOAP,STAR Jalsha,55.25876460767947,2.99,5.41,male,8
D_QeMOx4gGk,BENGALI,1,0,8,8,0,0,4,4,1711,1019,KHUKUMONI HOME DELIVERY,2022.0,DRAMA/SOAP,STAR Jalsha,55.25876460767947,2.99,5.41,female,8
Db261uFcGIw,BENGALI,0,0,16,16,0,0,11,5,1345,760,MITHAI,2021.0,DRAMA/SOAP,Zee Bangla,61.256830601092894,4.04,6.59,male,16
Db261uFcGIw,BENGALI,0,0,16,16,0,0,11,5,1345,760,MITHAI,2021.0,DRAMA/SOAP,Zee Bangla,61.256830601092894,4.04,6.59,female,16
EZ72Rw8wI5c,BENGALI,0,0,8,8,0,0,3,5,2049,1088,NAKSHI KANTHA,2018.0,DRAMA/SOAP,Zee Bangla,54.65768799102133,2.25,4.12,male,8
EZ72Rw8wI5c,BENGALI,0,0,8,8,0,0,3,5,2049,1088,NAKSHI KANTHA,2018.0,DRAMA/SOAP,Zee Bangla,54.65768799102133,2.25,4.12,female,8
Ef8_OMRqKLA,BENGALI,0,0,20,20,0,0,10,10,1966,999,SARBOJAYA,2021.0,DRAMA/SOAP,Zee Bangla,57.61478163493841,3.81,6.6,male,20
Ef8_OMRqKLA,BENGALI,0,0,20,20,0,0,10,10,1966,999,SARBOJAYA,2021.0,DRAMA/SOAP,Zee Bangla,57.61478163493841,3.81,6.6,female,20
Ep_xOnqMSAU,BENGALI,0,0,10,9,1,0,3,7,853,427,KI KORE BOLBO TOMAY,2019.0,DRAMA/SOAP,Zee Bangla,52.02440377149196,2.16,4.15,male,10
Ep_xOnqMSAU,BENGALI,0,0,10,9,1,0,3,7,853,427,KI KORE BOLBO TOMAY,2019.0,DRAMA/SOAP,Zee Bangla,52.02440377149196,2.16,4.15,female,9
ErKPJv_M1vw,BENGALI,0,0,14,14,0,0,9,5,1676,909,APARAJITA APU (-MAHAPARVA),2021.0,DRAMA/SOAP,Zee Bangla,47.43801652892562,4.24,8.93,male,14
ErKPJv_M1vw,BENGALI,0,0,14,14,0,0,9,5,1676,909,APARAJITA APU (-MAHAPARVA),2021.0,DRAMA/SOAP,Zee Bangla,47.43801652892562,4.24,8.93,female,14
FB8IOi_iUNw,BENGALI,0,0,9,8,1,0,6,3,282,110,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82,male,9
FB8IOi_iUNw,BENGALI,0,0,9,8,1,0,6,3,282,110,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82,female,8
FEkBIOE80OI,BENGALI,0,0,17,15,1,1,11,6,519,227,RANGIYE DIYE JAO,2021.0,DRAMA/SOAP,STAR Jalsha,31.237830319888733,3.69,11.77,male,17
FEkBIOE80OI,BENGALI,0,0,17,15,1,1,11,6,519,227,RANGIYE DIYE JAO,2021.0,DRAMA/SOAP,STAR Jalsha,31.237830319888733,3.69,11.77,female,15
FfaXCB3ERNM,BENGALI,0,0,0,0,0,0,0,0,2115,1131,NAKSHI KANTHA,2018.0,DRAMA/SOAP,Zee Bangla,54.65768799102133,2.25,4.12,male,0
FfaXCB3ERNM,BENGALI,0,0,0,0,0,0,0,0,2115,1131,NAKSHI KANTHA,2018.0,DRAMA/SOAP,Zee Bangla,54.65768799102133,2.25,4.12,female,0
Frq6FR_M-w0,BENGALI,0,0,6,6,0,0,2,4,314,140,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89,male,6
Frq6FR_M-w0,BENGALI,0,0,6,6,0,0,2,4,314,140,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89,female,6
FvdH3QNE-9s,BENGALI,0,0,13,12,0,1,11,2,1967,1138,ALO CHHAYA,2019.0,DRAMA/SOAP,Zee Bangla,49.80435997764114,3.15,6.32,male,13
FvdH3QNE-9s,BENGALI,0,0,13,12,0,1,11,2,1967,1138,ALO CHHAYA,2019.0,DRAMA/SOAP,Zee Bangla,49.80435997764114,3.15,6.32,female,12
FxIuG37luGQ,BENGALI,0,0,0,0,0,0,0,0,3,3,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82,male,0
FxIuG37luGQ,BENGALI,0,0,0,0,0,0,0,0,3,3,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82,female,0
G5F28UEQ_z4,BENGALI,0,0,8,8,0,0,6,2,128,52,BANGLA MEDIUM,2022.0,DRAMA/SOAP,STAR Jalsha,63.166666666666664,2.77,4.38,male,8
G5F28UEQ_z4,BENGALI,0,0,8,8,0,0,6,2,128,52,BANGLA MEDIUM,2022.0,DRAMA/SOAP,STAR Jalsha,63.166666666666664,2.77,4.38,female,8
GDJz0vc-87Q,BENGALI,0,0,25,24,1,0,20,5,278,125,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33,male,25
GDJz0vc-87Q,BENGALI,0,0,25,24,1,0,20,5,278,125,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33,female,24
GMyQwVtADqo,BENGALI,0,0,0,0,0,0,0,0,1915,1126,APARAJITA APU,2020.0,DRAMA/SOAP,Zee Bangla,55.37694013303769,4.32,7.8,male,0
GMyQwVtADqo,BENGALI,0,0,0,0,0,0,0,0,1915,1126,APARAJITA APU,2020.0,DRAMA/SOAP,Zee Bangla,55.37694013303769,4.32,7.8,female,0
GZScebuMuMc,BENGALI,12,7,0,0,0,0,0,0,2122,1173,KRISHNAKOLI,2019.0,DRAMA/SOAP,Zee Bangla,56.30530973451327,2.09,3.72,male,0
GZScebuMuMc,BENGALI,12,7,0,0,0,0,0,0,2122,1173,KRISHNAKOLI,2019.0,DRAMA/SOAP,Zee Bangla,56.30530973451327,2.09,3.72,female,0
GZvOvy9ByRM,BENGALI,0,0,0,0,0,0,0,0,15,4,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82,male,0
GZvOvy9ByRM,BENGALI,0,0,0,0,0,0,0,0,15,4,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82,female,0
Gl5QxYsZX74,BENGALI,0,0,23,23,0,0,16,7,398,177,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33,male,23
Gl5QxYsZX74,BENGALI,0,0,23,23,0,0,16,7,398,177,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33,female,23
GviMn1mymvI,BENGALI,8,0,27,27,0,0,21,6,911,499,KHELAGHOR,2020.0,DRAMA/SOAP,STAR Jalsha,58.5650723025584,3.09,5.28,male,27
GviMn1mymvI,BENGALI,8,0,27,27,0,0,21,6,911,499,KHELAGHOR,2020.0,DRAMA/SOAP,STAR Jalsha,58.5650723025584,3.09,5.28,female,27
Hq0MTjIYq-U,BENGALI,0,0,13,12,0,1,7,6,2249,1325,BAGH BANDI KHELA,2020.0,DRAMA/SOAP,Zee Bangla,43.98273070696168,3.37,7.66,male,13
Hq0MTjIYq-U,BENGALI,0,0,13,12,0,1,7,6,2249,1325,BAGH BANDI KHELA,2020.0,DRAMA/SOAP,Zee Bangla,43.98273070696168,3.37,7.66,female,12
HvDAXCvkZC8,BENGALI,0,0,5,5,0,0,2,3,2171,1192,KORI KHELA,2021.0,DRAMA/SOAP,Zee Bangla,38.38297872340426,4.56,11.87,male,5
HvDAXCvkZC8,BENGALI,0,0,5,5,0,0,2,3,2171,1192,KORI KHELA,2021.0,DRAMA/SOAP,Zee Bangla,38.38297872340426,4.56,11.87,female,5
IBi1NOGDYRw,BENGALI,0,0,10,8,1,1,6,4,79,33,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82,male,10
IBi1NOGDYRw,BENGALI,0,0,10,8,1,1,6,4,79,33,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82,female,8
IELx289lOw0,BENGALI,3,1,9,9,0,0,3,6,2744,1529,NAKSHI KANTHA,2018.0,DRAMA/SOAP,Zee Bangla,54.65768799102133,2.25,4.12,male,9
IELx289lOw0,BENGALI,3,1,9,9,0,0,3,6,2744,1529,NAKSHI KANTHA,2018.0,DRAMA/SOAP,Zee Bangla,54.65768799102133,2.25,4.12,female,9
IN1KvlDyypI,BENGALI,1,0,16,15,1,0,9,7,174,77,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89,male,16
IN1KvlDyypI,BENGALI,1,0,16,15,1,0,9,7,174,77,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89,female,15
JurzcVD-lTY,BENGALI,0,0,7,7,0,0,4,3,85,31,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89,male,7
JurzcVD-lTY,BENGALI,0,0,7,7,0,0,4,3,85,31,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89,female,7
KXcvEXMRs7c,BENGALI,0,0,13,13,0,0,7,6,2081,1156,BAGH BANDI KHELA,2020.0,DRAMA/SOAP,Zee Bangla,43.98273070696168,3.37,7.66,male,13
KXcvEXMRs7c,BENGALI,0,0,13,13,0,0,7,6,2081,1156,BAGH BANDI KHELA,2020.0,DRAMA/SOAP,Zee Bangla,43.98273070696168,3.37,7.66,female,13
LiR5UnScjGI,BENGALI,0,0,13,13,0,0,8,5,1945,1077,NETAJI,2019.0,DRAMA/SOAP,Zee Bangla,49.29893438025799,2.1,4.26,male,13
LiR5UnScjGI,BENGALI,0,0,13,13,0,0,8,5,1945,1077,NETAJI,2019.0,DRAMA/SOAP,Zee Bangla,49.29893438025799,2.1,4.26,female,13
MRBmqRz6WEM,BENGALI,1,0,12,12,0,0,8,4,2173,1284,APARAJITA APU,2020.0,DRAMA/SOAP,Zee Bangla,55.37694013303769,4.32,7.8,male,12
MRBmqRz6WEM,BENGALI,1,0,12,12,0,0,8,4,2173,1284,APARAJITA APU,2020.0,DRAMA/SOAP,Zee Bangla,55.37694013303769,4.32,7.8,female,12
MSh8jPAfIls,BENGALI,1,0,0,0,0,0,0,0,2371,1470,KORI KHELA,2021.0,DRAMA/SOAP,Zee Bangla,38.38297872340426,4.56,11.87,male,0
MSh8jPAfIls,BENGALI,1,0,0,0,0,0,0,0,2371,1470,KORI KHELA,2021.0,DRAMA/SOAP,Zee Bangla,38.38297872340426,4.56,11.87,female,0
MlKY4f9BREI,BENGALI,0,0,12,12,0,0,5,7,2027,1127,LAALKUTHI,2022.0,DRAMA/SOAP,Zee Bangla,52.28794642857143,2.72,5.19,male,12
MlKY4f9BREI,BENGALI,0,0,12,12,0,0,5,7,2027,1127,LAALKUTHI,2022.0,DRAMA/SOAP,Zee Bangla,52.28794642857143,2.72,5.19,female,12
N_Wd39vuIE4,BENGALI,0,0,13,10,2,1,6,7,2261,1293,UMA,2021.0,DRAMA/SOAP,Zee Bangla,59.16913946587537,3.33,5.63,male,13
N_Wd39vuIE4,BENGALI,0,0,13,10,2,1,6,7,2261,1293,UMA,2021.0,DRAMA/SOAP,Zee Bangla,59.16913946587537,3.33,5.63,female,10
NrnQqwyrGbg,BENGALI,0,0,0,0,0,0,0,0,1130,625,NOJOR,2019.0,DRAMA/SOAP,STAR Jalsha,40.038967364831954,1.93,4.82,male,0
NrnQqwyrGbg,BENGALI,0,0,0,0,0,0,0,0,1130,625,NOJOR,2019.0,DRAMA/SOAP,STAR Jalsha,40.038967364831954,1.93,4.82,female,0
O5f8OAAKkWQ,BENGALI,0,0,10,10,0,0,6,4,1866,1045,LAALKUTHI,2022.0,DRAMA/SOAP,Zee Bangla,52.28794642857143,2.72,5.19,male,10
O5f8OAAKkWQ,BENGALI,0,0,10,10,0,0,6,4,1866,1045,LAALKUTHI,2022.0,DRAMA/SOAP,Zee Bangla,52.28794642857143,2.72,5.19,female,10
ORq1I6hMpCQ,BENGALI,0,0,14,14,0,0,11,3,187,79,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89,male,14
ORq1I6hMpCQ,BENGALI,0,0,14,14,0,0,11,3,187,79,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89,female,14
PDKXedozbAA,BENGALI,0,0,7,5,2,0,6,1,199,88,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,male,7
PDKXedozbAA,BENGALI,0,0,7,5,2,0,6,1,199,88,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,female,5
PFmhT-46-Ng,BENGALI,0,0,6,5,1,0,6,0,26,13,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33,male,6
PFmhT-46-Ng,BENGALI,0,0,6,5,1,0,6,0,26,13,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33,female,5
PiC5XMm6ud0,BENGALI,0,0,14,14,0,0,6,8,1475,760,JIBON SATHI,2020.0,DRAMA/SOAP,Zee Bangla,50.55309734513274,3.45,6.82,male,14
PiC5XMm6ud0,BENGALI,0,0,14,14,0,0,6,8,1475,760,JIBON SATHI,2020.0,DRAMA/SOAP,Zee Bangla,50.55309734513274,3.45,6.82,female,14
Px8gYQUpXzw,BENGALI,0,0,16,16,0,0,7,9,2566,1535,MITHAI,2022.0,DRAMA/SOAP,Zee Bangla,57.55148741418764,2.73,4.75,male,16
