video_id,lang,derogatory,controversial,male_person_name,female_person_name,unisex_person_name,hindu_person_name,muslim_person_name,christian_person_name,transcript,non_stopword_transcript,program,year,genre,channel,ats,rating,reach,religion,person_name_count
-PUpZlgFVlI,BENGALI,0,0,4,4,0,0,2,2,36,9,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,hindu,0
-PUpZlgFVlI,BENGALI,0,0,4,4,0,0,2,2,36,9,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,muslim,2
-PUpZlgFVlI,BENGALI,0,0,4,4,0,0,2,2,36,9,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,christian,2
-R6Iou8twaw,BENGALI,0,0,7,7,0,0,7,0,16,5,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,hindu,0
-R6Iou8twaw,BENGALI,0,0,7,7,0,0,7,0,16,5,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,muslim,7
-R6Iou8twaw,BENGALI,0,0,7,7,0,0,7,0,16,5,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,christian,0
-Y9oaa82Vxw,BENGALI,0,0,12,11,1,0,8,4,1626,855,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,hindu,0
-Y9oaa82Vxw,BENGALI,0,0,12,11,1,0,8,4,1626,855,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,muslim,8
-Y9oaa82Vxw,BENGALI,0,0,12,11,1,0,8,4,1626,855,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,christian,4
0B1QD63DzOc,BENGALI,3,0,0,0,0,0,0,0,1840,1077,KHUKUMONI HOME DELIVERY,2021.0,DRAMA/SOAP,STAR Jalsha,62.888888888888886,3.97,6.31,hindu,0
0B1QD63DzOc,BENGALI,3,0,0,0,0,0,0,0,1840,1077,KHUKUMONI HOME DELIVERY,2021.0,DRAMA/SOAP,STAR Jalsha,62.888888888888886,3.97,6.31,muslim,0
0B1QD63DzOc,BENGALI,3,0,0,0,0,0,0,0,1840,1077,KHUKUMONI HOME DELIVERY,2021.0,DRAMA/SOAP,STAR Jalsha,62.888888888888886,3.97,6.31,christian,0
0qUmRtgLuPY,BENGALI,1,0,0,0,0,0,0,0,1649,888,TRINAYANI,2019.0,DRAMA/SOAP,Zee Bangla,57.86548082267927,2.86,4.94,hindu,0
0qUmRtgLuPY,BENGALI,1,0,0,0,0,0,0,0,1649,888,TRINAYANI,2019.0,DRAMA/SOAP,Zee Bangla,57.86548082267927,2.86,4.94,muslim,0
0qUmRtgLuPY,BENGALI,1,0,0,0,0,0,0,0,1649,888,TRINAYANI,2019.0,DRAMA/SOAP,Zee Bangla,57.86548082267927,2.86,4.94,christian,0
16tVnHedkGg,BENGALI,2,0,14,12,1,1,11,3,788,346,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,hindu,1
16tVnHedkGg,BENGALI,2,0,14,12,1,1,11,3,788,346,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,muslim,11
16tVnHedkGg,BENGALI,2,0,14,12,1,1,11,3,788,346,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,christian,3
1D1zfJhAA5g,BENGALI,0,0,12,12,0,0,7,5,1492,788,JIBON SATHI,2020.0,DRAMA/SOAP,Zee Bangla,50.55309734513274,3.45,6.82,hindu,0
1D1zfJhAA5g,BENGALI,0,0,12,12,0,0,7,5,1492,788,JIBON SATHI,2020.0,DRAMA/SOAP,Zee Bangla,50.55309734513274,3.45,6.82,muslim,7
1D1zfJhAA5g,BENGALI,0,0,12,12,0,0,7,5,1492,788,JIBON SATHI,2020.0,DRAMA/SOAP,Zee Bangla,50.55309734513274,3.45,6.82,christian,5
1E5RgstZOYo,BENGALI,0,0,10,10,0,0,5,5,2148,1136,ANDARMAHAL,2018.0,DRAMA/SOAP,Zee Bangla,41.448467966573816,2.26,5.46,hindu,0
1E5RgstZOYo,BENGALI,0,0,10,10,0,0,5,5,2148,1136,ANDARMAHAL,2018.0,DRAMA/SOAP,Zee Bangla,41.448467966573816,2.26,5.46,muslim,5
1E5RgstZOYo,BENGALI,0,0,10,10,0,0,5,5,2148,1136,ANDARMAHAL,2018.0,DRAMA/SOAP,Zee Bangla,41.448467966573816,2.26,5.46,christian,5
1iGvooeqWNA,BENGALI,0,0,25,23,2,0,25,0,117,46,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,hindu,0
1iGvooeqWNA,BENGALI,0,0,25,23,2,0,25,0,117,46,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,muslim,25
1iGvooeqWNA,BENGALI,0,0,25,23,2,0,25,0,117,46,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37,christian,0
29yQ0kobcOM,BENGALI,0,0,20,20,0,0,12,8,1116,607,NOJOR,2019.0,DRAMA/SOAP,STAR Jalsha,40.038967364831954,1.93,4.82,hindu,0
29yQ0kobcOM,BENGALI,0,0,20,20,0,0,12,8,1116,607,NOJOR,2019.0,DRAMA/SOAP,STAR Jalsha,40.038967364831954,1.93,4.82,muslim,12
29yQ0kobcOM,BENGALI,0,0,20,20,0,0,12,8,1116,607,NOJOR,2019.0,DRAMA/SOAP,STAR Jalsha,40.038967364831954,1.93,4.82,christian,8
2KUioip1wZ8,BENGALI,22,12,15,15,0,0,8,7,2142,1172,KRISHNAKOLI,2019.0,DRAMA/SOAP,Zee Bangla,56.30530973451327,2.09,3.72,hindu,0
2KUioip1wZ8,BENGALI,22,12,15,15,0,0,8,7,2142,1172,KRISHNAKOLI,2019.0,DRAMA/SOAP,Zee Bangla,56.30530973451327,2.09,3.72,muslim,8
2KUioip1wZ8,BENGALI,22,12,15,15,0,0,8,7,2142,1172,KRISHNAKOLI,2019.0,DRAMA/SOAP,Zee Bangla,56.30530973451327,2.09,3.72,christian,7
2g9Yx4Niz8s,BENGALI,0,0,11,11,0,0,5,6,2270,1283,ALO CHHAYA,2019.0,DRAMA/SOAP,Zee Bangla,49.80435997764114,3.15,6.32,hindu,0
2g9Yx4Niz8s,BENGALI,0,0,11,11,0,0,5,6,2270,1283,ALO CHHAYA,2019.0,DRAMA/SOAP,Zee Bangla,49.80435997764114,3.15,6.32,muslim,5
2g9Yx4Niz8s,BENGALI,0,0,11,11,0,0,5,6,2270,1283,ALO CHHAYA,2019.0,DRAMA/SOAP,Zee Bangla,49.80435997764114,3.15,6.32,christian,6
2wmk2N9xzrY,BENGALI,0,0,22,22,0,0,15,7,2023,1064,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,hindu,0
2wmk2N9xzrY,BENGALI,0,0,22,22,0,0,15,7,2023,1064,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,muslim,15
2wmk2N9xzrY,BENGALI,0,0,22,22,0,0,15,7,2023,1064,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,christian,7
