video_id,lang,derogatory,controversial,male_person_name,female_person_name,unisex_person_name,hindu_person_name,muslim_person_name,christian_person_name,transcript,non_stopword_transcript,program,year,genre,channel,ats,rating,reach
-PUpZlgFVlI,BENGALI,0,0,4,4,0,0,2,2,36,9,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37
-R6Iou8twaw,BENGALI,0,0,7,7,0,0,7,0,16,5,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37
-Y9oaa82Vxw,BENGALI,0,0,12,11,1,0,8,4,1626,855,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17
0B1QD63DzOc,BENGALI,3,0,0,0,0,0,0,0,1840,1077,KHUKUMONI HOME DELIVERY,2021.0,DRAMA/SOAP,STAR Jalsha,62.888888888888886,3.97,6.31
0qUmRtgLuPY,BENGALI,1,0,0,0,0,0,0,0,1649,888,TRINAYANI,2019.0,DRAMA/SOAP,Zee Bangla,57.86548082267927,2.86,4.94
16tVnHedkGg,BENGALI,2,0,14,12,1,1,11,3,788,346,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37
1D1zfJhAA5g,BENGALI,0,0,12,12,0,0,7,5,1492,788,JIBON SATHI,2020.0,DRAMA/SOAP,Zee Bangla,50.55309734513274,3.45,6.82
1E5RgstZOYo,BENGALI,0,0,10,10,0,0,5,5,2148,1136,ANDARMAHAL,2018.0,DRAMA/SOAP,Zee Bangla,41.448467966573816,2.26,5.46
1iGvooeqWNA,BENGALI,0,0,25,23,2,0,25,0,117,46,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37
29yQ0kobcOM,BENGALI,0,0,20,20,0,0,12,8,1116,607,NOJOR,2019.0,DRAMA/SOAP,STAR Jalsha,40.038967364831954,1.93,4.82
2KUioip1wZ8,BENGALI,22,12,15,15,0,0,8,7,2142,1172,KRISHNAKOLI,2019.0,DRAMA/SOAP,Zee Bangla,56.30530973451327,2.09,3.72
2g9Yx4Niz8s,BENGALI,0,0,11,11,0,0,5,6,2270,1283,ALO CHHAYA,2019.0,DRAMA/SOAP,Zee Bangla,49.80435997764114,3.15,6.32
2wmk2N9xzrY,BENGALI,0,0,22,22,0,0,15,7,2023,1064,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17
3wvSiXwHW1o,BENGALI,0,0,0,0,0,0,0,0,1705,926,TRINAYANI,2019.0,DRAMA/SOAP,Zee Bangla,57.86548082267927,2.86,4.94
4JST6XN934s,BENGALI,0,0,6,6,0,0,3,3,562,248,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82
