video_id,lang,derogatory,controversial,male_person_name,female_person_name,unisex_person_name,hindu_person_name,muslim_person_name,christian_person_name,transcript,non_stopword_transcript,program,year,genre,channel,ats,rating,reach
4frjmiM9tc0,BENGALI,1,0,0,0,0,0,0,0,1205,705,KHUKUMONI HOME DELIVERY,2022.0,DRAMA/SOAP,STAR Jalsha,55.25876460767947,2.99,5.41
4nDy2O-PBLM,BENGALI,1,0,11,11,0,0,7,4,1716,896,RANGIYE DIYE JAO,2021.0,DRAMA/SOAP,STAR Jalsha,31.237830319888733,3.69,11.77
5gicvTrVryc,BENGALI,0,0,10,10,0,0,7,3,1649,846,RANGIYE DIYE JAO,2021.0,DRAMA/SOAP,STAR Jalsha,31.237830319888733,3.69,11.77
6BQ9GaOFrxE,BENGALI,0,0,13,13,0,0,9,4,2360,1278,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17
6wajLOkSHDg,BENGALI,0,0,0,0,0,0,0,0,175,85,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37
7pysv5CA1TQ,BENGALI,0,0,0,0,0,0,0,0,2169,1219,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01
89Z1mVn93O4,BENGALI,0,0,11,11,0,0,8,3,2001,1219,MITHAI,2021.0,DRAMA/SOAP,Zee Bangla,61.256830601092894,4.04,6.59
89m4ErCBYvo,BENGALI,2,0,12,12,0,0,9,3,1679,934,UMA,2021.0,DRAMA/SOAP,Zee Bangla,59.16913946587537,3.33,5.63
8PfaKu2uzu0,BENGALI,0,0,4,3,1,0,2,2,246,95,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33
8V-mhzGr8rA,BENGALI,7,0,9,8,1,0,4,5,1662,919,RANU PELO LOTTERY,2018.0,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22
ADS4Gg5k5hs,BENGALI,0,0,5,5,0,0,2,3,1804,999,NETAJI,2019.0,DRAMA/SOAP,Zee Bangla,49.29893438025799,2.1,4.26
AVp_1TvR9Ek,BENGALI,0,0,12,12,0,0,6,6,1885,1014,APARAJITA APU (-MAHAPARVA),2021.0,DRAMA/SOAP,Zee Bangla,47.43801652892562,4.24,8.93
A_xSqKBS4GQ,BENGALI,0,0,18,17,0,1,15,3,185,73,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37
AiKQ72vPaGc,BENGALI,1,0,11,11,0,0,8,3,2287,1268,ANDARMAHAL,2018.0,DRAMA/SOAP,Zee Bangla,41.448467966573816,2.26,5.46
AyyHhLhXwcQ,BENGALI,0,0,14,14,0,0,4,10,2363,1385,MITHAI,2022.0,DRAMA/SOAP,Zee Bangla,57.55148741418764,2.73,4.75
B2fL_gfuIQw,BENGALI,1,0,17,16,1,0,9,8,2204,1287,BOKUL KOTHA,2018.0,DRAMA/SOAP,Zee Bangla,52.57332595462092,3.22,6.13
B4IYPSdY5og,BENGALI,6,0,23,23,0,0,16,7,2329,1465,KHUKUMONI HOME DELIVERY,2021.0,DRAMA/SOAP,STAR Jalsha,62.888888888888886,3.97,6.31
C6wi-M-kfPI,BENGALI,1,0,10,8,2,0,8,2,796,360,BANGLA MEDIUM,2022.0,DRAMA/SOAP,STAR Jalsha,63.166666666666664,2.77,4.38
CK3liFrE20I,BENGALI,0,0,11,11,0,0,3,8,2134,1236,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01
CL8OH3LPiM0,BENGALI,0,0,11,11,0,0,6,5,673,324,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89
DPJVARz2Uss,BENGALI,0,0,0,0,0,0,0,0,1596,855,APARAJITA APU (-MAHAPARVA),2021.0,DRAMA/SOAP,Zee Bangla,47.43801652892562,4.24,8.93
D_QeMOx4gGk,BENGALI,1,0,8,8,0,0,4,4,1711,1019,KHUKUMONI HOME DELIVERY,2022.0,DRAMA/SOAP,STAR Jalsha,55.25876460767947,2.99,5.41
Db261uFcGIw,BENGALI,0,0,16,16,0,0,11,5,1345,760,MITHAI,2021.0,DRAMA/SOAP,Zee Bangla,61.256830601092894,4.04,6.59
EZ72Rw8wI5c,BENGALI,0,0,8,8,0,0,3,5,2049,1088,NAKSHI KANTHA,2018.0,DRAMA/SOAP,Zee Bangla,54.65768799102133,2.25,4.12
Ef8_OMRqKLA,BENGALI,0,0,20,20,0,0,10,10,1966,999,SARBOJAYA,2021.0,DRAMA/SOAP,Zee Bangla,57.61478163493841,3.81,6.6
Ep_xOnqMSAU,BENGALI,0,0,10,9,1,0,3,7,853,427,KI KORE BOLBO TOMAY,2019.0,DRAMA/SOAP,Zee Bangla,52.02440377149196,2.16,4.15
ErKPJv_M1vw,BENGALI,0,0,14,14,0,0,9,5,1676,909,APARAJITA APU (-MAHAPARVA),2021.0,DRAMA/SOAP,Zee Bangla,47.43801652892562,4.24,8.93
FB8IOi_iUNw,BENGALI,0,0,9,8,1,0,6,3,282,110,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82
FEkBIOE80OI,BENGALI,0,0,17,15,1,1,11,6,519,227,RANGIYE DIYE JAO,2021.0,DRAMA/SOAP,STAR Jalsha,31.237830319888733,3.69,11.77
FfaXCB3ERNM,BENGALI,0,0,0,0,0,0,0,0,2115,1131,NAKSHI KANTHA,2018.0,DRAMA/SOAP,Zee Bangla,54.65768799102133,2.25,4.12
Frq6FR_M-w0,BENGALI,0,0,6,6,0,0,2,4,314,140,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89
FvdH3QNE-9s,BENGALI,0,0,13,12,0,1,11,2,1967,1138,ALO CHHAYA,2019.0,DRAMA/SOAP,Zee Bangla,49.80435997764114,3.15,6.32
FxIuG37luGQ,BENGALI,0,0,0,0,0,0,0,0,3,3,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82
G5F28UEQ_z4,BENGALI,0,0,8,8,0,0,6,2,128,52,BANGLA MEDIUM,2022.0,DRAMA/SOAP,STAR Jalsha,63.166666666666664,2.77,4.38
GDJz0vc-87Q,BENGALI,0,0,25,24,1,0,20,5,278,125,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33
GMyQwVtADqo,BENGALI,0,0,0,0,0,0,0,0,1915,1126,APARAJITA APU,2020.0,DRAMA/SOAP,Zee Bangla,55.37694013303769,4.32,7.8
GZScebuMuMc,BENGALI,12,7,0,0,0,0,0,0,2122,1173,KRISHNAKOLI,2019.0,DRAMA/SOAP,Zee Bangla,56.30530973451327,2.09,3.72
GZvOvy9ByRM,BENGALI,0,0,0,0,0,0,0,0,15,4,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82
Gl5QxYsZX74,BENGALI,0,0,23,23,0,0,16,7,398,177,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33
GviMn1mymvI,BENGALI,8,0,27,27,0,0,21,6,911,499,KHELAGHOR,2020.0,DRAMA/SOAP,STAR Jalsha,58.5650723025584,3.09,5.28
Hq0MTjIYq-U,BENGALI,0,0,13,12,0,1,7,6,2249,1325,BAGH BANDI KHELA,2020.0,DRAMA/SOAP,Zee Bangla,43.98273070696168,3.37,7.66
HvDAXCvkZC8,BENGALI,0,0,5,5,0,0,2,3,2171,1192,KORI KHELA,2021.0,DRAMA/SOAP,Zee Bangla,38.38297872340426,4.56,11.87
IBi1NOGDYRw,BENGALI,0,0,10,8,1,1,6,4,79,33,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82
IELx289lOw0,BENGALI,3,1,9,9,0,0,3,6,2744,1529,NAKSHI KANTHA,2018.0,DRAMA/SOAP,Zee Bangla,54.65768799102133,2.25,4.12
IN1KvlDyypI,BENGALI,1,0,16,15,1,0,9,7,174,77,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89
JurzcVD-lTY,BENGALI,0,0,7,7,0,0,4,3,85,31,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89
KXcvEXMRs7c,BENGALI,0,0,13,13,0,0,7,6,2081,1156,BAGH BANDI KHELA,2020.0,DRAMA/SOAP,Zee Bangla,43.98273070696168,3.37,7.66
LiR5UnScjGI,BENGALI,0,0,13,13,0,0,8,5,1945,1077,NETAJI,2019.0,DRAMA/SOAP,Zee Bangla,49.29893438025799,2.1,4.26
MRBmqRz6WEM,BENGALI,1,0,12,12,0,0,8,4,2173,1284,APARAJITA APU,2020.0,DRAMA/SOAP,Zee Bangla,55.37694013303769,4.32,7.8
MSh8jPAfIls,BENGALI,1,0,0,0,0,0,0,0,2371,1470,KORI KHELA,2021.0,DRAMA/SOAP,Zee Bangla,38.38297872340426,4.56,11.87
MlKY4f9BREI,BENGALI,0,0,12,12,0,0,5,7,2027,1127,LAALKUTHI,2022.0,DRAMA/SOAP,Zee Bangla,52.28794642857143,2.72,5.19
N_Wd39vuIE4,BENGALI,0,0,13,10,2,1,6,7,2261,1293,UMA,2021.0,DRAMA/SOAP,Zee Bangla,59.16913946587537,3.33,5.63
NrnQqwyrGbg,BENGALI,0,0,0,0,0,0,0,0,1130,625,NOJOR,2019.0,DRAMA/SOAP,STAR Jalsha,40.038967364831954,1.93,4.82
O5f8OAAKkWQ,BENGALI,0,0,10,10,0,0,6,4,1866,1045,LAALKUTHI,2022.0,DRAMA/SOAP,Zee Bangla,52.28794642857143,2.72,5.19
ORq1I6hMpCQ,BENGALI,0,0,14,14,0,0,11,3,187,79,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89
PDKXedozbAA,BENGALI,0,0,7,5,2,0,6,1,199,88,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37
PFmhT-46-Ng,BENGALI,0,0,6,5,1,0,6,0,26,13,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33
PiC5XMm6ud0,BENGALI,0,0,14,14,0,0,6,8,1475,760,JIBON SATHI,2020.0,DRAMA/SOAP,Zee Bangla,50.55309734513274,3.45,6.82
Px8gYQUpXzw,BENGALI,0,0,16,16,0,0,7,9,2566,1535,MITHAI,2022.0,DRAMA/SOAP,Zee Bangla,57.55148741418764,2.73,4.75
Q50iolPT-Uk,BENGALI,0,0,0,0,0,0,0,0,2349,1330,APARAJITA APU (-MAHAPARVA),2021.0,DRAMA/SOAP,Zee Bangla,47.43801652892562,4.24,8.93
Q7gbiUApv7Y,BENGALI,0,0,0,0,0,0,0,0,9,5,KORI KHELA,2021.0,DRAMA/SOAP,Zee Bangla,38.38297872340426,4.56,11.87
Qm8mOnrzSN4,BENGALI,0,0,13,13,0,0,10,3,2040,1141,LAALKUTHI,2022.0,DRAMA/SOAP,Zee Bangla,52.28794642857143,2.72,5.19
R4CmezdTtn4,BENGALI,0,0,14,14,0,0,9,5,2370,1341,BOKUL KOTHA,2018.0,DRAMA/SOAP,Zee Bangla,52.57332595462092,3.22,6.13
RMmSjFxOPKY,BENGALI,7,0,15,14,0,1,8,7,1925,1096,RANU PELO LOTTERY,2018.0,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22
RXA1uZIu5wE,BENGALI,1,0,18,18,0,0,9,9,2509,1474,KRISHNAKOLI,2019.0,DRAMA/SOAP,Zee Bangla,56.30530973451327,2.09,3.72
RqbB6Ft94tM,BENGALI,0,0,3,2,1,0,2,1,17,5,BANGLA MEDIUM,2022.0,DRAMA/SOAP,STAR Jalsha,63.166666666666664,2.77,4.38
SHFefocAryc,BENGALI,0,0,9,9,0,0,6,3,347,166,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82
SQ2VT0ZyKWk,BENGALI,0,0,10,10,0,0,4,6,2370,1364,ALO CHHAYA,2019.0,DRAMA/SOAP,Zee Bangla,49.80435997764114,3.15,6.32
SuL0wLFVzak,BENGALI,0,0,5,5,0,0,4,1,161,64,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33
TuUlRpABlko,BENGALI,0,0,10,8,2,0,5,5,1839,1013,NAKSHI KANTHA,2018.0,DRAMA/SOAP,Zee Bangla,54.65768799102133,2.25,4.12
U-BJaWtcSnQ,BENGALI,0,0,13,13,0,0,10,3,1211,627,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82
UHgTytKKt7Q,BENGALI,0,0,20,17,2,1,15,5,830,416,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33
UWAYUMw1R6g,BENGALI,0,0,13,12,0,1,9,4,1086,580,KHUKUMONI HOME DELIVERY,2022.0,DRAMA/SOAP,STAR Jalsha,55.25876460767947,2.99,5.41
V407cfvJKSU,BENGALI,0,0,10,9,1,0,6,4,2313,1207,NAKSHI KANTHA,2018.0,DRAMA/SOAP,Zee Bangla,54.65768799102133,2.25,4.12
VERgk7gAGvg,BENGALI,0,0,8,8,0,0,5,3,254,132,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89
VN4wEn-LS0o,BENGALI,0,0,12,12,0,0,8,4,1782,1025,KI KORE BOLBO TOMAY,2019.0,DRAMA/SOAP,Zee Bangla,52.02440377149196,2.16,4.15
VpMdLf_QsN8,BENGALI,0,0,0,0,0,0,0,0,1824,985,SARBOJAYA,2021.0,DRAMA/SOAP,Zee Bangla,57.61478163493841,3.81,6.6
WcIdCIuY6CA,BENGALI,0,0,10,10,0,0,5,5,2165,1218,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17
WmROiemcIR4,BENGALI,0,0,23,23,0,0,19,4,419,165,BANGLA MEDIUM,2022.0,DRAMA/SOAP,STAR Jalsha,63.166666666666664,2.77,4.38
WpHRtzjl4k0,BENGALI,0,0,11,11,0,0,8,3,1104,637,MITHAI,2021.0,DRAMA/SOAP,Zee Bangla,61.256830601092894,4.04,6.59
X5izMrSxq0U,BENGALI,4,0,12,12,0,0,7,5,974,529,KHELAGHOR,2020.0,DRAMA/SOAP,STAR Jalsha,58.5650723025584,3.09,5.28
XPbAQTzZ5CY,BENGALI,0,0,14,14,0,0,13,1,2216,1172,BOKUL KOTHA,2018.0,DRAMA/SOAP,Zee Bangla,52.57332595462092,3.22,6.13
XVktXUTp4Lc,BENGALI,0,0,12,10,2,0,10,2,156,62,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37
Y1uycTCBsTY,BENGALI,0,0,17,17,0,0,8,9,2222,1169,SARBOJAYA,2021.0,DRAMA/SOAP,Zee Bangla,57.61478163493841,3.81,6.6
YLpMvMolleI,BENGALI,2,0,10,10,0,0,3,7,1682,931,JIBON SATHI,2020.0,DRAMA/SOAP,Zee Bangla,50.55309734513274,3.45,6.82
YjiDED1lLP8,BENGALI,0,0,0,0,0,0,0,0,1785,1009,RANGIYE DIYE JAO,2021.0,DRAMA/SOAP,STAR Jalsha,31.237830319888733,3.69,11.77
YwpeslQe8aM,BENGALI,0,0,11,11,0,0,6,5,1748,993,KORI KHELA,2021.0,DRAMA/SOAP,Zee Bangla,38.38297872340426,4.56,11.87
Z6Y-tZr8MuE,BENGALI,0,0,19,18,1,0,12,7,214,86,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89
ZT0lixwWQxY,BENGALI,0,0,14,13,0,1,10,4,1681,933,BOKUL KOTHA,2019.0,DRAMA/SOAP,Zee Bangla,54.54035874439462,2.66,4.88
_FQkNRFntAI,BENGALI,0,0,0,0,0,0,0,0,1985,1131,UMA,2021.0,DRAMA/SOAP,Zee Bangla,59.16913946587537,3.33,5.63
_K4T8YOvdzg,BENGALI,0,0,9,9,0,0,4,5,2116,1114,ANDARMAHAL,2018.0,DRAMA/SOAP,Zee Bangla,41.448467966573816,2.26,5.46
_RaehhKfcLQ,BENGALI,6,0,22,22,0,0,14,8,2264,1318,KHUKUMONI HOME DELIVERY,2021.0,DRAMA/SOAP,STAR Jalsha,62.888888888888886,3.97,6.31
_q2LnPo1S4g,BENGALI,0,0,4,4,0,0,1,3,198,92,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89
aJDEnxSIyVw,BENGALI,0,0,14,14,0,0,9,5,292,111,BANGLA MEDIUM,2022.0,DRAMA/SOAP,STAR Jalsha,63.166666666666664,2.77,4.38
ap1rnBC_O9k,BENGALI,1,0,15,15,0,0,9,6,2515,1454,JAMUNA DHAKI,2020.0,DRAMA/SOAP,Zee Bangla,54.619883040935676,3.04,5.57
apAz19j4n-Y,BENGALI,1,0,12,11,1,0,9,3,770,415,BOKUL KOTHA,2019.0,DRAMA/SOAP,Zee Bangla,54.54035874439462,2.66,4.88
b2-0b2Hlw2c,BENGALI,0,0,6,5,1,0,5,1,185,81,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37
c08pjJzyne4,BENGALI,0,0,14,12,1,1,11,3,1291,721,BOKUL KOTHA,2019.0,DRAMA/SOAP,Zee Bangla,54.54035874439462,2.66,4.88
c2AJwXEvg4Q,BENGALI,0,0,10,7,3,0,8,2,92,36,GAATCHORA,2022.0,DRAMA/SOAP,STAR Jalsha,59.4775619557937,2.6,4.37
cIR9EZ7eevY,BENGALI,0,0,11,11,0,0,10,1,153,49,AALTA PHORING,2022.0,DRAMA/SOAP,STAR Jalsha,58.22222222222222,2.8,4.82
cXGvTVTs3NE,BENGALI,0,0,12,12,0,0,7,5,2515,1433,ALO CHHAYA,2019.0,DRAMA/SOAP,Zee Bangla,49.80435997764114,3.15,6.32
cm-Rc69lwas,BENGALI,4,0,11,11,0,0,7,4,2354,1398,MON PHAGUN,2021.0,DRAMA/SOAP,STAR Jalsha,56.531406336853806,3.46,6.12
d6feNhPwAQc,BENGALI,0,0,8,7,1,0,6,2,400,159,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33
daeX84ekv8Y,BENGALI,1,0,12,11,0,1,7,5,2191,1224,BOKUL KOTHA,2019.0,DRAMA/SOAP,Zee Bangla,54.54035874439462,2.66,4.88
dwSyH_rpv90,BENGALI,0,0,0,0,0,0,0,0,1496,848,APARAJITA APU,2020.0,DRAMA/SOAP,Zee Bangla,55.37694013303769,4.32,7.8
eDmjxT4SUu4,BENGALI,0,0,32,30,1,1,21,11,795,304,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33
eYRy1CaTGog,BENGALI,0,0,18,18,0,0,11,7,1808,1017,TRINAYANI,2019.0,DRAMA/SOAP,Zee Bangla,57.86548082267927,2.86,4.94
erA50W225Ns,BENGALI,0,0,15,15,0,0,14,1,1079,614,KHELAGHOR,2020.0,DRAMA/SOAP,STAR Jalsha,58.5650723025584,3.09,5.28
f6dplZLoW5s,BENGALI,0,0,11,10,1,0,5,6,1556,852,NETAJI,2019.0,DRAMA/SOAP,Zee Bangla,49.29893438025799,2.1,4.26
fiwicS1JUXM,BENGALI,0,0,39,37,2,0,30,9,1535,863,BOKUL KOTHA,2018.0,DRAMA/SOAP,Zee Bangla,52.57332595462092,3.22,6.13
fm2ZOgj8_1I,BENGALI,1,0,15,15,0,0,10,5,1475,772,KI KORE BOLBO TOMAY,2019.0,DRAMA/SOAP,Zee Bangla,52.02440377149196,2.16,4.15
gfDTvqId2ZA,BENGALI,0,0,11,11,0,0,7,4,2226,1352,MITHAI,2022.0,DRAMA/SOAP,Zee Bangla,57.55148741418764,2.73,4.75
gq5A3D8xENY,BENGALI,0,0,9,9,0,0,4,5,2173,1200,APARAJITA APU,2020.0,DRAMA/SOAP,Zee Bangla,55.37694013303769,4.32,7.8
hsUgbkhA8Js,BENGALI,0,0,4,1,3,0,3,1,10,6,UMA,2021.0,DRAMA/SOAP,Zee Bangla,59.16913946587537,3.33,5.63
i7O5yxxPvL4,BENGALI,0,0,12,12,0,0,7,5,2069,1129,MON PHAGUN,2021.0,DRAMA/SOAP,STAR Jalsha,56.531406336853806,3.46,6.12
iOTm9IzrcW4,BENGALI,1,0,11,11,0,0,6,5,1625,932,NETAJI,2019.0,DRAMA/SOAP,Zee Bangla,49.29893438025799,2.1,4.26
iasmbZclYMU,BENGALI,0,0,9,8,0,1,6,3,292,122,ANURAGER CHOWA,2022.0,DRAMA/SOAP,STAR Jalsha,66.26240352811466,2.58,3.89
idb2-OGdIMc,BENGALI,0,0,11,11,0,0,7,4,1806,885,JOY BABA LOKENATH,2018.0,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17
igjSSJzjDG8,BENGALI,0,0,79,78,0,1,67,12,2315,1238,ANDARMAHAL,2018.0,DRAMA/SOAP,Zee Bangla,41.448467966573816,2.26,5.46
j1XW8CquC80,BENGALI,0,0,21,21,0,0,15,6,2049,1109,MON PHAGUN,2021.0,DRAMA/SOAP,STAR Jalsha,56.531406336853806,3.46,6.12
jQFP2mp-jjA,BENGALI,2,0,17,16,0,1,12,5,1493,834,KHUKUMONI HOME DELIVERY,2022.0,DRAMA/SOAP,STAR Jalsha,55.25876460767947,2.99,5.41
jXsEdah9o3s,BENGALI,0,0,12,12,0,0,6,6,2674,1573,UMA,2021.0,DRAMA/SOAP,Zee Bangla,59.16913946587537,3.33,5.63
j_tzxrX5oLY,BENGALI,2,0,8,8,0,0,4,4,2149,1214,KHUKUMONI HOME DELIVERY,2021.0,DRAMA/SOAP,STAR Jalsha,62.888888888888886,3.97,6.31
kM32I6lyMjo,BENGALI,1,0,0,0,0,0,0,0,1864,1031,SARBOJAYA,2021.0,DRAMA/SOAP,Zee Bangla,57.61478163493841,3.81,6.6
kVhc1bXDE4o,BENGALI,2,0,13,12,1,0,10,3,1863,1060,BOKUL KOTHA,2018.0,DRAMA/SOAP,Zee Bangla,52.57332595462092,3.22,6.13
kbKcIEpiGmE,BENGALI,0,0,11,11,0,0,6,5,133,41,BANGLA MEDIUM,2022.0,DRAMA/SOAP,STAR Jalsha,63.166666666666664,2.77,4.38
kw4NfqChDJ0,BENGALI,1,0,11,11,0,0,8,3,2232,1263,MON PHAGUN,2021.0,DRAMA/SOAP,STAR Jalsha,56.531406336853806,3.46,6.12
lEi-rI8xVNc,BENGALI,1,0,11,11,0,0,8,3,1793,987,JAMUNA DHAKI,2020.0,DRAMA/SOAP,Zee Bangla,54.619883040935676,3.04,5.57
m6K3v9nT09o,BENGALI,0,0,10,10,0,0,4,6,2072,1168,SARBOJAYA,2021.0,DRAMA/SOAP,Zee Bangla,57.61478163493841,3.81,6.6
m_EXsn5hj0g,BENGALI,0,0,0,0,0,0,0,0,1214,668,NOJOR,2019.0,DRAMA/SOAP,STAR Jalsha,40.038967364831954,1.93,4.82
mjuAgQ_lo9Q,BENGALI,4,0,8,8,0,0,5,3,2062,1155,TRINAYANI,2019.0,DRAMA/SOAP,Zee Bangla,57.86548082267927,2.86,4.94
mwKsQ6ku1X0,BENGALI,0,0,9,9,0,0,3,6,2694,1613,KRISHNAKOLI,2018.0,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01
nQwoUp99-hg,BENGALI,0,0,13,13,0,0,8,5,1904,1032,RANGIYE DIYE JAO,2021.0,DRAMA/SOAP,STAR Jalsha,31.237830319888733,3.69,11.77
nU7Ry7sIhxE,BENGALI,0,0,30,30,0,0,17,13,236,85,DHULOKONA,2022.0,DRAMA/SOAP,STAR Jalsha,62.0,3.3,5.33
nbkRBD4WWtU,BENGALI,0,0,14,14,0,0,7,7,1494,803,NOJOR,2019.0,DRAMA/SOAP,STAR Jalsha,40.038967364831954,1.93,4.82
npSAcMEh9lU,BENGALI,0,0,14,14,0,0,9,5,1561,861,JIBON SATHI,2020.0,DRAMA/SOAP,Zee Bangla,50.55309734513274,3.45,6.82
oH7avjqv2Cg,BENGALI,0,0,18,16,2,0,11,7,398,161,BANGLA MEDIUM,2022.0,DRAMA/SOAP,STAR Jalsha,63.166666666666664,2.77,4.38
oXdB7Otc6Lo,BENGALI,7,0,14,13,0,1,8,6,1990,1167,RANU PELO LOTTERY,2018.0,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22
ozXDjYyhYgM,BENGALI,0,0,15,15,0,0,8,7,2810,1723,MITHAI,2022.0,DRAMA/SOAP,Zee Bangla,57.55148741418764,2.73,4.75
