key,year,program,lang,genre,channel,ats,rating,reach,male_faces,female_faces,young_faces,adult_faces,middle_aged_faces,old_faces,light_faces,medium_faces,dark_faces,faces,derogatory,controversial,male_name,female_name,unisex_name,transcript,non_stopword_transcript,religion,name_count
8V-mhzGr8rA,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,9691,7470,195,13900,2655,411,13685,3314,162,17161,7,0,9,8,1,1662,919,hindu,0
8V-mhzGr8rA,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,9691,7470,195,13900,2655,411,13685,3314,162,17161,7,0,9,8,1,1662,919,muslim,4
8V-mhzGr8rA,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,9691,7470,195,13900,2655,411,13685,3314,162,17161,7,0,9,8,1,1662,919,christian,5
sR0g8hDld8I,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,5318,7742,514,10345,1590,611,9403,3072,585,13060,1,0,10,10,0,1316,728,hindu,0
sR0g8hDld8I,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,5318,7742,514,10345,1590,611,9403,3072,585,13060,1,0,10,10,0,1316,728,muslim,5
sR0g8hDld8I,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,5318,7742,514,10345,1590,611,9403,3072,585,13060,1,0,10,10,0,1316,728,christian,5
oXdB7Otc6Lo,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,8462,10474,643,10334,7027,932,15592,3231,113,18936,7,0,14,13,0,1990,1167,hindu,1
oXdB7Otc6Lo,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,8462,10474,643,10334,7027,932,15592,3231,113,18936,7,0,14,13,0,1990,1167,muslim,8
oXdB7Otc6Lo,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,8462,10474,643,10334,7027,932,15592,3231,113,18936,7,0,14,13,0,1990,1167,christian,6
RMmSjFxOPKY,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,7790,11825,280,12029,6146,1160,15402,4130,83,19615,7,0,15,14,0,1925,1096,hindu,1
RMmSjFxOPKY,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,7790,11825,280,12029,6146,1160,15402,4130,83,19615,7,0,15,14,0,1925,1096,muslim,8
RMmSjFxOPKY,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,7790,11825,280,12029,6146,1160,15402,4130,83,19615,7,0,15,14,0,1925,1096,christian,7
zZ46moWsngI,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,8627,12797,1021,13297,5884,1222,15377,5429,618,21424,2,0,19,19,0,1779,978,hindu,0
zZ46moWsngI,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,8627,12797,1021,13297,5884,1222,15377,5429,618,21424,2,0,19,19,0,1779,978,muslim,13
zZ46moWsngI,2018,ranu pelo lottery,BENGALI,DRAMA/SOAP,Zee Bangla,61.68795113825652,4.45,7.22,8627,12797,1021,13297,5884,1222,15377,5429,618,21424,2,0,19,19,0,1779,978,christian,6
idb2-OGdIMc,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,10835,11690,7478,11828,3219,0,18831,2723,971,22525,0,0,11,11,0,1806,885,hindu,0
idb2-OGdIMc,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,10835,11690,7478,11828,3219,0,18831,2723,971,22525,0,0,11,11,0,1806,885,muslim,7
idb2-OGdIMc,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,10835,11690,7478,11828,3219,0,18831,2723,971,22525,0,0,11,11,0,1806,885,christian,4
-Y9oaa82Vxw,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,10291,3176,3532,5819,3672,444,8449,4013,1005,13467,0,0,12,11,1,1626,855,hindu,0
-Y9oaa82Vxw,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,10291,3176,3532,5819,3672,444,8449,4013,1005,13467,0,0,12,11,1,1626,855,muslim,8
-Y9oaa82Vxw,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,10291,3176,3532,5819,3672,444,8449,4013,1005,13467,0,0,12,11,1,1626,855,christian,4
WcIdCIuY6CA,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,11904,6866,5369,8240,5161,0,17172,1313,285,18770,0,0,10,10,0,2165,1218,hindu,0
WcIdCIuY6CA,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,11904,6866,5369,8240,5161,0,17172,1313,285,18770,0,0,10,10,0,2165,1218,muslim,5
WcIdCIuY6CA,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,11904,6866,5369,8240,5161,0,17172,1313,285,18770,0,0,10,10,0,2165,1218,christian,5
2wmk2N9xzrY,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,8525,8571,5308,6663,5125,0,14850,2216,30,17096,0,0,22,22,0,2023,1064,hindu,0
2wmk2N9xzrY,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,8525,8571,5308,6663,5125,0,14850,2216,30,17096,0,0,22,22,0,2023,1064,muslim,15
2wmk2N9xzrY,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,8525,8571,5308,6663,5125,0,14850,2216,30,17096,0,0,22,22,0,2023,1064,christian,7
6BQ9GaOFrxE,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,11569,12487,5589,13479,4465,523,21753,2291,12,24056,0,0,13,13,0,2360,1278,hindu,0
6BQ9GaOFrxE,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,11569,12487,5589,13479,4465,523,21753,2291,12,24056,0,0,13,13,0,2360,1278,muslim,9
6BQ9GaOFrxE,2018,joy baba lokenath,BENGALI,DRAMA/SOAP,Zee Bangla,48.15229563269877,3.93,8.17,11569,12487,5589,13479,4465,523,21753,2291,12,24056,0,0,13,13,0,2360,1278,christian,4
qSLn7lrTZlU,2018,krishnakoli,BENGALI,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,15575,16425,911,22116,8973,0,28430,3334,236,32000,0,0,14,14,0,2212,1317,hindu,0
qSLn7lrTZlU,2018,krishnakoli,BENGALI,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,15575,16425,911,22116,8973,0,28430,3334,236,32000,0,0,14,14,0,2212,1317,muslim,10
qSLn7lrTZlU,2018,krishnakoli,BENGALI,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,15575,16425,911,22116,8973,0,28430,3334,236,32000,0,0,14,14,0,2212,1317,christian,4
sfOoym3tv6s,2018,krishnakoli,BENGALI,DRAMA/SOAP,Zee Bangla,56.921373200442964,3.42,6.01,13793,15297,1402,20316,7300,72,24911,3961,218,29090,0,0,14,14,0,1792,1093,hindu,0
